포켓몬코리아, 카드 게임 홍보모델로 변우석 선정
CU, 건강기능식품 130만개 팔렸다…'헬스케어 2.0' 본격화
CU, 건기식 130만개 팔렸다…판매점 2000곳 추가
CU, 건기식 누적 130만개 돌파…‘헬스케어 2.0’ 시동
이준영, 입대 전 포켓몬 카드 당근…훈련소 미담 등장 “상상 그 이상으...
CU, 헬스케어 2.0 전략…건기식이 매출 성장 견인
[편의점 브리핑] CU 건기식 130만개·GS25 바나나 전용농장·세븐일레븐...
CU, 건기식 130만개 돌파…편의점 건강시장 확대
CU, 건기식 판매점 2000곳 늘린다…'헬스케어 2.0' 시동
CU, 건기식 운영점·라인업 확대…'헬스케어 2.0 전략' 실행
