“브랜드 최초 캐릭터 협업”…센텔리안24, ‘마데카 크림 메타몽 에디...
동국제약, 센텔리안24 ‘마데카 크림 메타몽 에디션’ 출시
동국제약, 센텔리안24 '마데카 크림 메타몽 에디션' 출시
[바이오스냅] 동국제약, 센텔리안24 '마데카 크림 메타몽 에디션' 출시
동국제약, 센텔리안24 '마데카 크림 메타몽 에디션' 출시
[TOP's Pick] [제약] 한미·HHP, 길리어드에 ‘엔서퀴다’ 독점권 부여 外
동국제약 센텔리안24, '마데카 크림 메타몽 에디션' 한정 판매
동국제약, 센텔리안24 '마데카 크림 메타몽 에디션' 출시
동국제약, 센텔리안24 '마데카 크림 메타몽 에디션' 출시
동국제약, 센텔리안24 '마데카 크림 메타몽 에디션' 출시
